batch_id,method,score,is_drift
72,KL_Divergence,0.19868488689290778,False
72,KS_Statistic,0.06038666666666668,True
73,DDM,0.11349056209870743,False
73,KL_Divergence,0.2440617716200606,False
73,KS_Statistic,0.05832083333333332,True
74,DDM,0.1134606235886825,False
74,KL_Divergence,0.19913465102077332,False
74,KS_Statistic,0.054224166666666664,True
75,DDM,0.11343162416618761,False
75,KL_Divergence,0.20067655048387842,False
75,KS_Statistic,0.066295,True
76,DDM,0.11332948846185967,False
76,KL_Divergence,0.201921340151244,False
76,KS_Statistic,0.06202000000000001,True
77,DDM,0.11358217560650721,False
77,KL_Divergence,0.1911365793717247,False
77,KS_Statistic,0.04928916666666668,True
78,DDM,0.11383631107758128,False
78,KL_Divergence,0.19147387792999634,False
78,KS_Statistic,0.05364666666666667,True
79,DDM,0.11406419335366168,False
79,KL_Divergence,0.22279925302730397,False
79,KS_Statistic,0.061637499999999984,True
80,DDM,0.114457539024906,False
80,KL_Divergence,0.21712239185492055,False
80,KS_Statistic,0.06165083333333334,True
81,DDM,0.11484212452855751,False
81,KL_Divergence,0.19918574908779474,False
81,KS_Statistic,0.05749416666666666,True
82,DDM,0.1148690099410961,False
82,KL_Divergence,0.2092846044152168,False
82,KS_Statistic,0.06074499999999999,True
83,DDM,0.1146752136859878,False
83,KL_Divergence,0.2276849932789716,False
83,KS_Statistic,0.05657500000000001,True
84,DDM,0.11431864793485953,False
84,KL_Divergence,0.20350284599506904,False
84,KS_Statistic,0.08409166666666666,True
85,DDM,0.11401424755120398,False
85,KL_Divergence,0.19837603235697795,False
85,KS_Statistic,0.07189166666666665,True
86,DDM,0.11377093792078213,False
86,KL_Divergence,0.204702401804128,False
86,KS_Statistic,0.058326666666666666,True
87,DDM,0.11360262674496095,False
87,KL_Divergence,0.1725496550570098,False
87,KS_Statistic,0.05838833333333334,True
88,DDM,0.1135953229989875,False
88,KL_Divergence,0.20664276389065686,False
88,KS_Statistic,0.06472416666666667,True
89,DDM,0.11370266934000947,False
89,KL_Divergence,0.1739546157851517,False
89,KS_Statistic,0.0612625,True
90,DDM,0.11369157140503326,False
90,KL_Divergence,0.17935135267049115,False
90,KS_Statistic,0.05772,True
91,DDM,0.11367814581242007,False
91,KL_Divergence,0.17834553938681397,False
91,KS_Statistic,0.056920000000000005,True
92,DDM,0.11348071022845047,False
92,KL_Divergence,0.20023307833754114,False
92,KS_Statistic,0.07906583333333334,True
93,DDM,0.1132376826630844,False
93,KL_Divergence,0.18926973312290227,False
93,KS_Statistic,0.06042000000000001,True
94,DDM,0.11316795001953878,False
94,KL_Divergence,0.17635534011946172,False
94,KS_Statistic,0.05156500000000001,True
95,DDM,0.11304567276128791,False
95,KL_Divergence,0.2060234920772471,False
95,KS_Statistic,0.06408416666666666,True
96,DDM,0.11287520444598297,False
96,KL_Divergence,0.18772025913889076,False
96,KS_Statistic,0.07029583333333335,True
97,DDM,0.11285319547056129,False
97,KL_Divergence,0.1893111734049819,False
97,KS_Statistic,0.06077666666666668,True
98,DDM,0.11274133747214336,False
98,KL_Divergence,0.20029680023524196,False
98,KS_Statistic,0.058650833333333326,True
99,DDM,0.11256864264609787,False
99,KL_Divergence,0.204850997004309,False
99,KS_Statistic,0.07365416666666665,True
100,DDM,0.1122187764937786,False
100,KL_Divergence,0.20555182848871667,False
100,KS_Statistic,0.07913083333333334,True
101,DDM,0.11192742926762364,False
101,KL_Divergence,0.2032874567127296,False
101,KS_Statistic,0.07090083333333333,True
102,DDM,0.11173346997951822,False
102,KL_Divergence,0.2379670079577505,False
102,KS_Statistic,0.06878166666666666,True
103,DDM,0.11163362385273573,False
103,KL_Divergence,0.22926131490732235,False
103,KS_Statistic,0.06836166666666665,True
104,DDM,0.11147826751610097,False
104,KL_Divergence,0.18864571155078957,False
104,KS_Statistic,0.06536583333333335,True
105,DDM,0.11139216187321435,False
105,KL_Divergence,0.19436646246655287,False
105,KS_Statistic,0.059635,True
106,DDM,0.11139476831877172,False
106,KL_Divergence,0.19857276865724957,False
106,KS_Statistic,0.05301000000000001,True
107,DDM,0.11143382383379451,False
107,KL_Divergence,0.21973447024938067,False
107,KS_Statistic,0.06495333333333332,True
